team,name,nation,position,age,play,start,mplay,goal,assist,PK,PKatt,CrdY,CrdR,perG,perA,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,
atletico,Vitolo\Vitolo,es ESP,FWMF,29,32,12,1389,3,1,0,0,3,0,0.19,0.06,0.26,0.19,0.26,2.5,2.5,1.3,0.18,0.09,0.28,0.18,0.28,Matches
atletico,Héctor Herrera\Hector-Herrera,mx MEX,MF,29,27,16,1378,1,2,0,0,2,0,0.07,0.13,0.2,0.07,0.2,0.9,0.9,2,0.07,0.15,0.21,0.07,0.21,Matches
atletico,Santiago Arias\Santiago-Arias,co COL,DF,27,16,13,1257,0,1,0,0,1,0,0,0.07,0.07,0,0.07,0.4,0.4,0.9,0.03,0.07,0.1,0.03,0.1,Matches
atletico,Thomas Lemar\Thomas-Lemar,fr FRA,MF,23,28,12,1149,0,0,0,0,2,0,0,0,0,0,0,0.7,0.7,0.9,0.05,0.07,0.12,0.05,0.12,Matches
atletico,Yannick Carrasco\Yannick-Carrasco,be BEL,FWMF,25,12,5,484,1,0,0,0,2,0,0.19,0,0.19,0.19,0.19,1.6,1.6,0.5,0.29,0.09,0.38,0.29,0.38,Matches
atletico,Šime Vrsaljko\Sime-Vrsaljko,hr CRO,DF,27,7,5,482,0,1,0,0,3,0,0,0.19,0.19,0,0.19,0,0,0.3,0,0.06,0.06,0,0.06,Matches
atletico,Manuel Sánchez\Manuel-Sanchez,es ESP,DF,18,5,4,355,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0,0.14,0.14,0,0.14,Matches
atletico,Antonio Adán\Antonio-Adan,es ESP,GK,32,2,1,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
atletico,Ivan Šaponjić\Ivan-Saponjic,rs SRB,FW,21,3,0,67,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,2.89,0,2.89,2.89,2.89,Matches
atletico,Sergio Camello\Sergio-Camello,es ESP,FW,18,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
atletico,Rodrigo Riquelme\Rodrigo-Riquelme,es ESP,MF,19,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.79,0,0.79,0.79,0.79,Matches
atletico,Darío Poveda\Dario-Poveda,es ESP,FW,22,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1.66,0,1.66,1.66,1.66,Matches
atletico,Germán Valera\German-Valera,es ESP,FW,17,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.53,1.53,0,1.53,Matches
atletico,Óscar Clemente\Oscar-Clemente,es ESP,MF,20,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
atletico,Toni Moya\Toni-Moya,es ESP,MF,21,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
