Name,Season,Age,Club,Country,Comp,LgRank,90s,Cmp,Att,Cmpper,TotDist,PrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,Ast,xA,A-xA,KP,Final,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp??,Off,Out,Int,Blocks,Matches
Guardado,2018-2019,31,Betis,es ESP,1. La Liga,10th,25.9,1439,1659,86.7,27490,5969,7,27,25.9,1126,1225,91.9,306,407,75.2,4,4.1,-0.1,32,112,32,4,135,1553,106,44,7,279,60,49,28,2,8,0,1183,211,265,1412,151,49,33,7,1439,5,17,24,26,Matches
Guardado,2019-2020,32,Betis,es ESP,1. La Liga,15th,22.7,876,1042,84.1,17718,3767,13,35,37.1,637,707,90.1,226,300,75.3,3,2.5,0.5,28,88,15,4,82,1005,37,17,0,190,37,20,2,1,1,0,684,171,187,862,112,38,17,3,876,6,24,17,17,Matches
Alena,2019-2020,21,Betis,es ESP,1. La Liga,15th,8.2,333,389,85.6,6532,1239,5,16,31.3,232,265,87.5,96,108,88.9,0,0.2,-0.2,4,44,4,1,33,384,5,3,0,79,11,3,0,0,0,0,306,48,35,336,36,10,2,2,333,2,2,6,8,Matches
William Carvalho,2018-2019,26,Betis,es ESP,1. La Liga,10th,26.5,1704,1911,89.2,31916,7781,24,46,52.2,1333,1451,91.9,347,414,83.8,5,1.9,3.1,17,202,28,0,179,1874,37,35,9,359,53,3,0,0,0,0,1526,190,195,244,1586,47,1,5,1704,4,17,38,21,Matches
William Carvalho,2019-2020,27,Betis,es ESP,1. La Liga,15th,9.9,564,634,89,10681,2488,14,22,63.6,422,462,91.3,128,150,85.3,0,0.9,-0.9,8,57,6,0,44,615,19,19,1,74,23,1,0,0,0,0,483,81,70,111,496,12,0,2,564,2,5,11,8,Matches
Guido Rodriguez,2019-2020,25,Betis,es ESP,1. La Liga,15th,10.4,442,514,86,8748,2050,5,15,33.3,316,356,88.8,121,143,84.6,0,0,0,2,38,5,1,34,494,20,20,0,85,20,1,0,0,0,0,344,79,91,38,432,31,0,1,442,0,4,6,9,Matches
Manu Garcia,2017-2018,31,Alavas,es ESP,1. La Liga,14th,27.1,724,997,72.6,13562,3815,10,34,29.4,571,723,79,143,240,59.6,0,1.3,-1.3,15,92,5,2,69,979,18,7,1,233,26,12,0,0,0,0,650,105,242,564,269,118,8,2,724,7,34,19,27,Matches
Manu Garcia,2018-2019,32,Alavas,es ESP,1. La Liga,11th,25.9,718,951,75.5,12736,3586,26,54,48.1,550,694,79.3,142,203,70,1,0.9,0.1,12,77,6,2,85,932,19,13,0,186,26,16,0,0,0,0,600,131,220,508,260,123,5,6,718,4,36,12,29,Matches
Manu Garcia,2019-2020,33,Alavas,es ESP,1. La Liga,16th,21.9,521,710,73.4,9535,2300,11,41,26.8,403,501,80.4,107,168,63.7,0,0.1,-0.1,2,46,2,0,49,698,12,11,1,172,19,4,0,0,0,0,411,122,177,354,214,101,0,3,521,2,30,6,26,Matches
Rafinha,2017-2018,24,Barcelona,it ITA,1. Serie A,4th,11.6,652,740,88.1,11186,2213,13,21,61.9,528,577,91.5,111,142,78.2,2,3,-1,25,58,19,2,71,720,20,5,1,211,15,18,1,0,1,0,593,79,68,590,120,12,4,10,652,2,12,11,9,Matches
